voltage_v,gas_key,gas_label,wire_key,wire_label,source_key,source_label,wire_diameter_um,wire_radius_cm,outer_radius_cm,ln_b_over_a,surface_field_v_per_cm,surface_field_kv_per_cm,primary_electrons,survival_factor,gain_model,v0_v,gain,collected_charge_c,collected_charge_pc,pulse_width_ns,termination_ohm,peak_voltage_v,peak_voltage_mv,visible_threshold_mv,reliable_threshold_mv,visibility_class,air_corona_onset_estimate_v,air_corona_region_flag,notes
100,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,33966.86962068419,33.96686962068419,121.0,0.95,diethorn_like_surrogate,111.87371819762815,1.0,1.8414989999999998e-17,1.841499e-05,10.0,50.0,9.207494999999999e-08,9.207494999999998e-05,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
100,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,13352.328027813362,13.352328027813362,130.0,0.95,diethorn_like_surrogate,284.59456598762915,1.0,1.97847e-17,1.97847e-05,10.0,50.0,9.892349999999998e-08,9.892349999999998e-05,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
100,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,13352.328027813362,13.352328027813362,121.0,0.95,diethorn_like_surrogate,284.59456598762915,1.0,1.8414989999999998e-17,1.841499e-05,10.0,50.0,9.207494999999999e-08,9.207494999999998e-05,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
200,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,67933.73924136838,67.93373924136839,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,1400.0,False,air direct-primary estimate only; below rough corona-onset estimate
200,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,67933.73924136838,67.93373924136839,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,1400.0,False,air direct-primary estimate only; below rough corona-onset estimate
200,air,air,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,26704.656055626725,26.704656055626725,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
200,air,air,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,26704.656055626725,26.704656055626725,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
200,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,67933.73924136838,67.93373924136839,130.0,0.95,diethorn_like_surrogate,111.87371819762815,1.383145140845416,2.7365111668084302e-17,2.73651116680843e-05,10.0,50.0,1.368255583404215e-07,0.0001368255583404215,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
200,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,67933.73924136838,67.93373924136839,121.0,0.95,diethorn_like_surrogate,111.87371819762815,1.383145140845416,2.5470603937216926e-17,2.5470603937216926e-05,10.0,50.0,1.2735301968608462e-07,0.00012735301968608463,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
200,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,26704.656055626725,26.704656055626725,130.0,0.95,diethorn_like_surrogate,284.59456598762915,1.0,1.97847e-17,1.97847e-05,10.0,50.0,9.892349999999998e-08,9.892349999999998e-05,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
